gene_id_1,gene_id_2
ENSG00000223972,ENSG00000223972
ENSG00000227232,ENSG00000227232
ENSG00000278267,ENSG00000278267
ENSG00000243485,ENSG00000243485
ENSG00000284332,ENSG00000284332
ENSG00000237613,ENSG00000237613
ENSG00000268020,ENSG00000268020
ENSG00000238009,ENSG00000238009
ENSG00000239945,ENSG00000239945
ENSG00000233750,ENSG00000233750
ENSG00000268903,ENSG00000268903
ENSG00000269981,ENSG00000269981
ENSG00000239906,ENSG00000239906
ENSG00000222623,ENSG00000222623
ENSG00000241599,ENSG00000241599
ENSG00000279928,ENSG00000279928
ENSG00000279457,ENSG00000279457
ENSG00000273874,ENSG00000273874
ENSG00000236679,ENSG00000236679
ENSG00000236601,ENSG00000236601
ENSG00000269732,ENSG00000269732
ENSG00000278566,ENSG00000284733
ENSG00000233653,ENSG00000233653
ENSG00000250575,ENSG00000250575
ENSG00000278757,ENSG00000278757
ENSG00000235146,ENSG00000235146
ENSG00000225972,ENSG00000225972
ENSG00000225630,ENSG00000225630
ENSG00000237973,ENSG00000237973
ENSG00000278791,ENSG00000278791
ENSG00000229344,ENSG00000229344
ENSG00000240409,ENSG00000240409
ENSG00000248527,ENSG00000248527
ENSG00000198744,ENSG00000198744
ENSG00000268663,ENSG00000268663
ENSG00000273547,ENSG00000284662
ENSG00000229376,ENSG00000229376
ENSG00000223181,ENSG00000223181
ENSG00000229905,ENSG00000229905
ENSG00000230092,ENSG00000230092
ENSG00000177757,ENSG00000177757
ENSG00000230368,ENSG00000230368
ENSG00000234711,ENSG00000234711
ENSG00000283040,ENSG00000283040
ENSG00000272438,ENSG00000272438
ENSG00000230699,ENSG00000230699
ENSG00000241180,ENSG00000241180
ENSG00000223764,ENSG00000223764
ENSG00000272512,ENSG00000272512
ENSG00000231702,ENSG00000231702
ENSG00000224969,ENSG00000224969
ENSG00000242590,ENSG00000242590
ENSG00000273443,ENSG00000273443
ENSG00000223823,ENSG00000223823
ENSG00000207730,ENSG00000207730
ENSG00000207607,ENSG00000207607
ENSG00000198976,ENSG00000198976
ENSG00000272141,ENSG00000272141
ENSG00000205231,ENSG00000205231
ENSG00000184163,ENSG00000184163
ENSG00000260179,ENSG00000260179
ENSG00000230415,ENSG00000230415
ENSG00000278073,ENSG00000278073
ENSG00000283712,ENSG00000283712
ENSG00000240731,ENSG00000240731
ENSG00000284372,ENSG00000284372
ENSG00000223663,ENSG00000223663
ENSG00000264293,ENSG00000264293
ENSG00000272455,ENSG00000272455
ENSG00000225905,ENSG00000225905
ENSG00000225285,ENSG00000225285
ENSG00000274481,ENSG00000274481
ENSG00000272106,ENSG00000272106
ENSG00000272004,ENSG00000272004
ENSG00000269737,ENSG00000269737
ENSG00000215914,ENSG00000215914
ENSG00000268575,ENSG00000268575
ENSG00000227775,ENSG00000227775
ENSG00000008130,ENSG00000008130
ENSG00000226969,ENSG00000226969
ENSG00000271806,ENSG00000271806
ENSG00000182873,ENSG00000182873
ENSG00000234396,ENSG00000234396
ENSG00000272161,ENSG00000272161
ENSG00000269896,ENSG00000269896
ENSG00000272420,ENSG00000272420
ENSG00000224387,ENSG00000224387
ENSG00000229393,ENSG00000229393
ENSG00000225931,ENSG00000225931
ENSG00000228037,ENSG00000228037
ENSG00000237058,ENSG00000237058
ENSG00000283259,ENSG00000283259
ENSG00000233234,ENSG00000233234
ENSG00000231630,ENSG00000231630
ENSG00000283572,ENSG00000283572
ENSG00000226286,ENSG00000226286
ENSG00000279839,ENSG00000279839
ENSG00000272235,ENSG00000272235
ENSG00000272088,ENSG00000272088
ENSG00000207776,ENSG00000207776
ENSG00000227589,ENSG00000227589
ENSG00000235131,ENSG00000235131
ENSG00000276189,ENSG00000276189
ENSG00000266075,ENSG00000266075
ENSG00000272153,ENSG00000272153
ENSG00000229280,ENSG00000229280
ENSG00000227169,ENSG00000227169
ENSG00000231510,ENSG00000231510
ENSG00000260972,ENSG00000260972
ENSG00000283356,ENSG00000283356
ENSG00000236948,ENSG00000236948
ENSG00000264341,ENSG00000264341
ENSG00000264101,ENSG00000264101
ENSG00000226944,ENSG00000226944
ENSG00000271746,ENSG00000271746
ENSG00000069812,ENSG00000069812
ENSG00000265392,ENSG00000265392
ENSG00000231868,ENSG00000231868
ENSG00000253022,ENSG00000253022
ENSG00000229519,ENSG00000229519
ENSG00000237436,ENSG00000237436
ENSG00000227950,ENSG00000227950
ENSG00000237365,ENSG00000237365
ENSG00000207056,ENSG00000207056
ENSG00000237402,ENSG00000237402
ENSG00000237728,ENSG00000237728
ENSG00000225126,ENSG00000225126
ENSG00000270171,ENSG00000270171
ENSG00000270035,ENSG00000270035
ENSG00000269978,ENSG00000269978
ENSG00000269925,ENSG00000269925
ENSG00000236266,ENSG00000236266
ENSG00000270330,ENSG00000270330
ENSG00000200344,ENSG00000200344
ENSG00000238290,ENSG00000238290
ENSG00000232848,ENSG00000232848
ENSG00000229305,ENSG00000229305
ENSG00000200975,ENSG00000200975
ENSG00000233645,ENSG00000233645
ENSG00000251977,ENSG00000251977
ENSG00000252254,ENSG00000252254
ENSG00000221083,ENSG00000221083
ENSG00000270282,ENSG00000270282
ENSG00000234619,ENSG00000234619
ENSG00000224315,ENSG00000224315
ENSG00000222511,ENSG00000222511
ENSG00000226545,ENSG00000226545
ENSG00000228423,ENSG00000228423
ENSG00000229716,ENSG00000229716
ENSG00000274258,ENSG00000274258
ENSG00000230679,ENSG00000230679
ENSG00000201725,ENSG00000201725
ENSG00000238249,ENSG00000238249
ENSG00000232208,ENSG00000232208
ENSG00000232663,ENSG00000232663
ENSG00000265141,ENSG00000265141
ENSG00000252404,ENSG00000252404
ENSG00000284357,ENSG00000284357
ENSG00000252956,ENSG00000252956
ENSG00000235263,ENSG00000235263
ENSG00000231181,ENSG00000231181
ENSG00000179840,ENSG00000179840
ENSG00000233268,ENSG00000233268
ENSG00000271264,ENSG00000271264
ENSG00000280113,ENSG00000280113
